num,Country,population,year_change,net_change,density,land_area_km2,migrants,fertility_rate,Median_age,Urban_pop_pct,World_share
178,Belize ,397628,0.0186,7275,17,22810,1200,2.3,25,0.46,0.0001
177,Guadeloupe ,400124,0.0002,68,237,1690,-1440,2.2,44,N.A. ,0.0001
176,Brunei ,437479,0.0097,4194,83,5270,0,1.8,32,0.8,0.0001
175,Malta ,441543,0.0027,1171,1380,320,900,1.5,43,0.93,0.0001
174,Maldives ,540544,0.0181,9591,1802,300,11370,1.9,30,0.35,0.0001
173,Micronesia ,548914,0.01,5428,784,700,-2957,2.9,27,0.68,0.0001
172,Cabo Verde ,555987,0.011,6052,138,4030,-1342,2.3,28,0.68,0.0001
171,Suriname ,586632,0.009,5260,4,156000,-1000,2.4,29,0.65,0.0001
170,Western Sahara ,597339,0.0255,14876,2,266000,5582,2.4,28,0.87,0.0001
169,Luxembourg ,625978,0.0166,10249,242,2590,9741,1.5,40,0.88,0.0001
168,Montenegro ,628066,0.0001,79,47,13450,-480,1.8,39,0.68,0.0001
167,Macao ,649335,0.0139,8890,21645,30,5000,1.2,39,N.A. ,0.0001
166,Solomon Islands ,686884,0.0255,17061,25,27990,-1600,4.4,20,0.23,0.0001
165,Bhutan ,771608,0.0112,8516,20,38117,320,2,28,0.46,0.0001
164,Guyana ,786552,0.0048,3786,4,196850,-6000,2.5,27,0.27,0.0001
163,Comoros ,869601,0.022,18715,467,1861,-2000,4.2,20,0.29,0.0001
162,Réunion ,895312,0.0072,6385,358,2500,-1256,2.3,36,1,0.0001
161,Fiji ,896445,0.0073,6492,49,18270,-6202,2.8,28,0.59,0.0001
160,Djibouti ,988000,0.0148,14440,43,23180,900,2.8,27,0.79,0.0001
159,Eswatini ,1160164,0.0105,12034,67,17200,-8353,3,21,0.3,0.0001
158,Cyprus ,1207359,0.0073,8784,131,9240,5000,1.3,37,0.67,0.0002
157,Mauritius ,1271768,0.0017,2100,626,2030,0,1.4,37,0.41,0.0002
156,Timor-Leste ,1318445,0.0196,25326,89,14870,-5385,4.1,21,0.33,0.0002
155,Estonia ,1326535,0.0007,887,31,42390,3911,1.6,42,0.68,0.0002
154,Trinidad and Tobago ,1399488,0.0032,4515,273,5130,-800,1.7,36,0.52,0.0002
153,Equatorial Guinea ,1402985,0.0347,46999,50,28050,16000,4.6,22,0.73,0.0002
152,Bahrain ,1701575,0.0368,60403,2239,760,47800,2,32,0.89,0.0002
151,Latvia ,1886198,-0.0108,-20545,30,62200,-14837,1.7,44,0.69,0.0002
150,Guinea-Bissau ,1968001,0.0245,47079,70,28120,-1399,4.5,19,0.45,0.0003
149,Slovenia ,2078938,0.0001,284,103,20140,2000,1.6,45,0.55,0.0003
148,North Macedonia ,2083374,0,-85,83,25220,-1000,1.5,39,0.59,0.0003
147,Lesotho ,2142249,0.008,16981,71,30360,-10047,3.2,24,0.31,0.0003
146,Gabon ,2225734,0.0245,53155,9,257670,3260,4,23,0.87,0.0003
145,Botswana ,2351627,0.0208,47930,4,566730,3000,2.9,24,0.73,0.0003
144,Gambia ,2416668,0.0294,68962,239,10120,-3087,5.3,18,0.59,0.0003
143,Namibia ,2540905,0.0186,46375,3,823290,-4806,3.4,22,0.55,0.0003
142,Lithuania ,2722289,-0.0135,-37338,43,62674,-32780,1.7,45,0.71,0.0003
141,Puerto Rico ,2860853,-0.0247,-72555,323,8870,-97986,1.2,44,N.A. ,0.0004
140,Albania ,2877797,-0.0011,-3120,105,27400,-14000,1.6,36,0.63,0.0004
139,Qatar ,2881053,0.0173,48986,248,11610,40000,1.9,32,0.96,0.0004
138,Jamaica ,2961167,0.0044,12888,273,10830,-11332,2,31,0.55,0.0004
137,Armenia ,2963243,0.0019,5512,104,28470,-4998,1.8,35,0.63,0.0004
136,Mongolia ,3278290,0.0165,53123,2,1553560,-852,2.9,28,0.67,0.0004
135,Bosnia and Herzegovina ,3280819,-0.0061,-20181,64,51000,-21585,1.3,43,0.52,0.0004
134,Uruguay ,3473730,0.0035,11996,20,175020,-3000,2,36,0.96,0.0004
133,Eritrea ,3546421,0.0141,49304,35,101000,-39858,4.1,19,0.63,0.0005
132,Georgia ,3989167,-0.0019,-7598,57,69490,-10000,2.1,38,0.58,0.0005
131,Moldova ,4033963,-0.0023,-9300,123,32850,-1387,1.3,38,0.43,0.0005
130,Croatia ,4105267,-0.0061,-25037,73,55960,-8001,1.4,44,0.58,0.0005
129,Kuwait ,4270571,0.0151,63488,240,17820,39520,2.1,37,N.A. ,0.0005
128,Panama ,4314767,0.0161,68328,58,74340,11200,2.5,30,0.68,0.0006
127,Mauritania ,4649658,0.0274,123962,5,1030700,5000,4.6,20,0.57,0.0006
126,New Zealand ,4822233,0.0082,39170,18,263310,14881,1.9,38,0.87,0.0006
125,Central African Republic ,4829767,0.0178,84582,8,622980,-40000,4.8,18,0.43,0.0006
124,Ireland ,4937786,0.0113,55291,72,68890,23604,1.8,38,0.63,0.0006
123,Liberia ,5057681,0.0244,120307,53,96320,-5000,4.4,19,0.53,0.0006
122,Costa Rica ,5094118,0.0092,46557,100,51060,4200,1.8,33,0.8,0.0007
121,State of Palestine ,5101414,0.0241,119994,847,6020,-10563,3.7,21,0.8,0.0007
120,Oman ,5106626,0.0265,131640,16,309500,87400,2.9,31,0.87,0.0007
119,Norway ,5421241,0.0079,42384,15,365268,28000,1.7,40,0.83,0.0007
118,Slovakia ,5459642,0.0005,2629,114,48088,1485,1.5,41,0.54,0.0007
117,Congo ,5518087,0.0256,137579,16,341500,-4000,4.5,19,0.7,0.0007
116,Finland ,5540720,0.0015,8564,18,303890,14000,1.5,43,0.86,0.0007
115,Denmark ,5792202,0.0035,20326,137,42430,15200,1.8,42,0.88,0.0007
114,Singapore ,5850342,0.0079,46005,8358,700,27028,1.2,42,N.A. ,0.0008
113,Turkmenistan ,6031200,0.015,89111,13,469930,-5000,2.8,27,0.53,0.0008
112,El Salvador ,6486205,0.0051,32652,313,20720,-40539,2.1,28,0.73,0.0008
111,Kyrgyzstan ,6524195,0.0169,108345,34,191800,-4000,3,26,0.36,0.0008
110,Nicaragua ,6624554,0.0121,79052,55,120340,-21272,2.4,26,0.57,0.0008
109,Lebanon ,6825445,-0.0044,-30268,667,10230,-30012,2.1,30,0.78,0.0009
108,Libya ,6871292,0.0138,93840,4,1759540,-1999,2.3,29,0.78,0.0009
107,Bulgaria ,6948445,-0.0074,-51674,64,108560,-4800,1.6,45,0.76,0.0009
106,Paraguay ,7132538,0.0125,87902,18,397300,-16556,2.4,26,0.62,0.0009
105,Laos ,7275560,0.0148,106105,32,230800,-14704,2.7,24,0.36,0.0009
104,Hong Kong ,7496981,0.0082,60827,7140,1050,29308,1.3,45,N.A. ,0.001
103,Sierra Leone ,7976983,0.021,163768,111,72180,-4200,4.3,19,0.43,0.001
102,Togo ,8278724,0.0243,196358,152,54390,-2000,4.4,19,0.43,0.0011
101,Switzerland ,8654622,0.0074,63257,219,39516,52000,1.5,43,0.74,0.0011
